player_qid,player_name,team_qid,team_name,start_date,start_year,era
Q151484,"Anastasia Morkovkina",Q930601,"Pärnu Jalgpalliklubi",2000-01-01,2000,2000-2005
Q4755015,"Andrea Chiopris Gori",Q433529,"Atletico Roma F.C.",2000-01-01,2000,2000-2005
Q4760371,"Andy Ansah",Q5313546,"Dulwich Hamlet F.C.",2000-01-01,2000,2000-2005
Q15806171,"Djelika Coulibaly",Q15822184,"Juventus de Yopougon",2000-01-01,2000,2000-2005
Q517879,"Hedda Strand Gardsjord",Q1266927,"Røa AIL",2000-01-01,2000,2000-2005
Q5982462,"Ian Muir",Q7621995,"Stratford Town F.C.",2000-01-01,2000,2000-2005
Q6212322,"Joe Sheerin",Q1988619,"Kingstonian F.C.",2000-01-01,2000,2000-2005
Q869577,"Jörg Schwanke",Q170125,"Rot Weiss Ahlen",2000-01-01,2000,2000-2005
Q121157535,"Keri Sarver",Q2151803,"Washington Freedom",2000-01-01,2000,2000-2005
Q21130285,"Marcos Llorente",Q932739,"La Masia",2000-01-01,2000,2000-2005
Q3848695,"Mario Karlovic",Q2005970,"Adelaide Raiders",2000-01-01,2000,2000-2005
Q116561,"Mody Traoré",Q212269,"Valenciennes F.C.",2000-01-01,2000,2000-2005
Q6959983,"Najib Farssane",Q289613,"Pisa SC",2000-01-01,2000,2000-2005
Q7151361,"Paul Holsgrove",Q2306118,"Slough Town F.C.",2000-01-01,2000,2000-2005
Q20650269,"Paul Talbot",Q18513,"Gateshead F.C.",2000-01-01,2000,2000-2005
Q7279396,"Rachel Shelina Israel",Q2819402,"ASA Tel Aviv University",2000-01-01,2000,2000-2005
Q2162675,"Roland Bonimeier",Q161034,"SV Wacker Burghausen",2000-01-01,2000,2000-2005
Q2221155,"Sandra de Pol",Q540384,"FC Bayern Munich Women",2000-01-01,2000,2000-2005
Q22006200,"Sara Lawlor",Q3373830,"Peamount United",2000-01-01,2000,2000-2005
Q7612170,"Steve Carter",Q5616667,"Guisborough Town F.C.",2000-01-01,2000,2000-2005
Q97694674,"Tatsiana Lohinava",Q2712628,"Universitet Vitebsk",2000-01-01,2000,2000-2005
Q7932241,"Vincenzo Maiolo",Q2703612,"Pro Sesto 1913",2000-01-01,2000,2000-2005
